# Time-averaged data for fix calcRDF
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
50000 100
96 3.82 0.996414 99.105
97 3.86 0.99975 102.085
98 3.9 0.992881 105.106
99 3.94 0.995434 108.198
100 3.98 0.992888 111.344
450000 100
1 0.02 0 0
2 0.06 0 0
3 0.1 0 0
4 0.14 0 0
5 0.18 0 0
6 0.22 0 0
7 0.26 0 0
8 0.3 0 0
9 0.34 0 0
10 0.38 0 0
11 0.42 0 0
12 0.46 0 0
13 0.5 0 0
14 0.54 0 0
15 0.58 0 0
16 0.62 0 0
17 0.66 0 0
18 0.7 0 0
19 0.74 0 0
20 0.78 0 0
21 0.82 0 0
22 0.86 0 0
23 0.9 0.00271484 0.00044
24 0.94 0.10679 0.01932
25 0.98 0.643836 0.14304
26 1.02 1.58076 0.4721
27 1.06 2.2894 0.98678
28 1.1 2.55437 1.60518
29 1.14 2.44074 2.23982
30 1.18 2.2312 2.8614
31 1.22 1.95278 3.44292
32 1.26 1.70787 3.9854
33 1.3 1.52513 4.50108
34 1.34 1.3437 4.9838
35 1.38 1.22515 5.4506
36 1.42 1.134 5.90808
37 1.46 1.06719 6.3632
38 1.5 1.01814 6.82152
39 1.54 0.970831 7.28216
40 1.58 0.953294 7.75828
41 1.62 0.932703 8.248
42 1.66 0.924285 8.75756
43 1.7 0.927758 9.29398
44 1.74 0.942354 9.86478
45 1.78 0.959385 10.4729
46 1.82 0.978492 11.1214
47 1.86 1.02049 11.8277
48 1.9 1.04604 12.5832
49 1.94 1.07666 13.3938
50 1.98 1.11515 14.2685
51 2.02 1.15009 15.2073
52 2.06 1.17646 16.2061
53 2.1 1.1916 17.2575
54 2.14 1.20521 18.3617
55 2.18 1.19852 19.5012
56 2.22 1.18253 20.6672
57 2.26 1.17271 21.8655
58 2.3 1.15602 23.0889
59 2.34 1.12446 24.3207
60 2.38 1.09413 25.5606
61 2.42 1.08349 26.8301
62 2.46 1.0721 28.1281
63 2.5 1.0572 29.45
64 2.54 1.03916 30.7912
65 2.58 1.0352 32.1698
66 2.62 1.03209 33.5871
67 2.66 1.02219 35.0341
68 2.7 1.01435 36.5135
69 2.74 1.01974 38.0451
70 2.78 1.01866 39.6201
71 2.82 1.02599 41.2524
72 2.86 1.02725 42.9334
73 2.9 1.03483 44.6745
74 2.94 1.03714 46.4679
75 2.98 1.04759 48.3291
76 3.02 1.04258 50.2314
77 3.06 1.04814 52.1949
78 3.1 1.0486 54.2109
79 3.14 1.04453 56.2712
80 3.18 1.04648 58.3883
81 3.22 1.04027 60.5461
82 3.26 1.03443 62.7455
83 3.3 1.03309 64.9962
84 3.34 1.03408 67.304
85 3.38 1.02641 69.6499
86 3.42 1.02091 72.0388
87 3.46 1.01306 74.4651
88 3.5 1.00834 76.9363
89 3.54 1.0057 79.4576
90 3.58 1.00587 82.0367
91 3.62 1.00442 84.67
92 3.66 0.998045 87.3446
93 3.7 0.998862 90.0803
94 3.74 0.996565 92.869
95 3.78 0.997184 95.7195
96 3.82 0.997791 98.6324
97 3.86 0.997207 101.605
98 3.9 0.993689 104.628
99 3.94 0.996014 107.722
